Tür,Program
önlisans,ACİL DURUM VE AFET YÖNETİMİ
önlisans,ACİL DURUM VE AFET YÖNETİMİ (AÇIKÖĞRETİM)
önlisans,AÇIK DENİZ SONDAJ TEKNOLOJİSİ
önlisans,AÇIK DENİZ TABANI UYGULAMALARI TEKNOLOJİSİ
önlisans,AĞIZ VE DİŞ SAĞLIĞI
önlisans,ALTERNATİF ENERJİ KAYNAKLARI TEKNOLOJİSİ
önlisans,AMBALAJ TASARIMI
önlisans,AMELİYATHANE HİZMETLERİ
önlisans,ANESTEZİ
önlisans,ARICILIK
önlisans,ARKA-YÜZ YAZILIM GELİŞTİRME
önlisans,AŞÇILIK
önlisans,AŞÇILIK (AÇIKÖĞRETİM)
önlisans,ATÇILIK VE ANTRENÖRLÜĞÜ
önlisans,ATIK YÖNETİMİ
önlisans,AVCILIK VE YABAN HAYATI
önlisans,AYAKKABI TASARIM VE ÜRETİMİ
önlisans,BAĞCILIK
önlisans,BAĞCILIK VE BAĞ ÜRÜNLERİ TEKNOLOJİSİ
önlisans,BAHÇE TARIMI
önlisans,BANKACILIK VE SİGORTACILIK
önlisans,BANKACILIK VE SİGORTACILIK (AÇIKÖĞRETİM)
önlisans,BASIM VE YAYIM TEKNOLOJİLERİ
önlisans,BIÇAKÇILIK VE EL ALETLERİ ÜRETİM TEKNOLOJİSİ
önlisans,BİLGİ YÖNETİMİ
önlisans,BİLGİ YÖNETİMİ (AÇIKÖĞRETİM)
önlisans,BİLGİSAYAR DESTEKLİ TASARIM VE ANİMASYON
önlisans,BİLGİSAYAR OPERATÖRLÜĞÜ
önlisans,BİLGİSAYAR PROGRAMCILIĞI
önlisans,BİLGİSAYAR PROGRAMCILIĞI (AÇIKÖĞRETİM)
önlisans,BİLGİSAYAR TEKNOLOJİSİ
önlisans,BİLİŞİM GÜVENLİĞİ TEKNOLOJİSİ
önlisans,BİTKİ KORUMA
önlisans,BİYOKİMYA
önlisans,BİYOMEDİKAL CİHAZ TEKNOLOJİSİ
önlisans,BOYA TEKNOLOJİSİ
önlisans,BULUT BİLİŞİM OPERATÖRLÜĞÜ
önlisans,BÜRO YÖNETİMİ VE YÖNETİCİ ASİSTANLIĞI
önlisans,BÜRO YÖNETİMİ VE YÖNETİCİ ASİSTANLIĞI (AÇIKÖĞRETİM)
önlisans,BÜYÜK VERİ ANALİSTLİĞİ
önlisans,CEZA İNFAZ VE GÜVENLİK HİZMETLERİ
önlisans,CNC PROGRAMLAMA VE OPERATÖRLÜĞÜ
önlisans,COĞRAFİ BİLGİ SİSTEMLERİ
önlisans,COĞRAFİ BİLGİ SİSTEMLERİ (AÇIKÖĞRETİM)
önlisans,ÇAĞRI MERKEZİ HİZMETLERİ
önlisans,ÇAĞRI MERKEZİ HİZMETLERİ (AÇIKÖĞRETİM)
önlisans,ÇAY TARIMI VE İŞLEME TEKNOLOJİSİ
önlisans,ÇEVRE KORUMA VE KONTROL
önlisans,ÇEVRE SAĞLIĞI
önlisans,ÇEVRE TEMİZLİĞİ VE DENETİMİ
önlisans,ÇİM ALAN TESİSİ VE YÖNETİMİ
önlisans,ÇİNİ SANATI VE TASARIMI
önlisans,ÇOCUK GELİŞİMİ
önlisans,ÇOCUK GELİŞİMİ (AÇIKÖĞRETİM)
önlisans,ÇOCUK KORUMA VE BAKIM HİZMETLERİ
önlisans,ÇOK BOYUTLU MODELLEME VE ANİMASYON
önlisans,DENİZ BROKERLİĞİ
önlisans,DENİZ ULAŞTIRMA VE İŞLETME
önlisans,DENİZ VE LİMAN İŞLETMECİLİĞİ
önlisans,DERİ TEKNOLOJİSİ
önlisans,"DEZENFEKSİYON, STERİLİZASYON VE ANTİSEPSİ TEKNİKERLİĞİ"
önlisans,DIŞ TİCARET
önlisans,DIŞ TİCARET (AÇIKÖĞRETİM)
önlisans,DİJİTAL DÖNÜŞÜM ELEKTRONİĞİ
önlisans,DİJİTAL FABRİKA TEKNOLOJİLERİ
önlisans,DİŞ PROTEZ TEKNOLOJİSİ
önlisans,DİYALİZ
önlisans,DOĞAL YAPI TAŞLARI TEKNOLOJİSİ
önlisans,DOĞALGAZ VE TESİSATI TEKNOLOJİSİ
önlisans,DÖKÜM
önlisans,E-TİCARET VE PAZARLAMA
önlisans,E-TİCARET VE PAZARLAMA (AÇIKÖĞRETİM)
önlisans,ECZANE HİZMETLERİ
önlisans,ELEKTRİK
önlisans,"ELEKTRİK ENERJİSİ ÜRETİM, İLETİM VE DAĞITIMI"
önlisans,"ELEKTRİK ENERJİSİ ÜRETİM, İLETİM VE DAĞITIMI (AÇIKÖĞRETİM)"
önlisans,ELEKTRİKLİ CİHAZ TEKNOLOJİSİ
önlisans,ELEKTRONİK HABERLEŞME TEKNOLOJİSİ
önlisans,ELEKTRONİK TEKNOLOJİSİ
önlisans,ELEKTRONÖROFİZYOLOJİ
önlisans,EMLAK YÖNETİMİ
önlisans,EMLAK YÖNETİMİ (AÇIKÖĞRETİM)
önlisans,ENDÜSTRİ ÜRÜNLERİ TASARIMI
önlisans,ENDÜSTRİYEL CAM VE SERAMİK
önlisans,ENDÜSTRİYEL HAMMADDELER İŞLEME TEKNOLOJİSİ
önlisans,ENDÜSTRİYEL KALIPÇILIK
önlisans,ENERJİ TESİSLERİ İŞLETMECİLİĞİ
önlisans,ENGELLİ BAKIMI VE REHABİLİTASYON
önlisans,ENGELLİ BAKIMI VE REHABİLİTASYON (AÇIKÖĞRETİM)
önlisans,ENGELLİLER İÇİN GÖLGE ÖĞRETİCİLİK
önlisans,ESER KORUMA
önlisans,ET VE ÜRÜNLERİ TEKNOLOJİSİ
önlisans,EV İDARESİ (AÇIKÖĞRETİM)
önlisans,EVDE HASTA BAKIMI
önlisans,FINDIK EKSPERLİĞİ
önlisans,FİDAN YETİŞTİRİCİLİĞİ
önlisans,FİZYOTERAPİ
önlisans,FOTOĞRAFÇILIK VE KAMERAMANLIK
önlisans,FOTOĞRAFÇILIK VE KAMERAMANLIK (AÇIKÖĞRETİM)
önlisans,GELENEKSEL EL SANATLARI
önlisans,GELENEKSEL TEKSTİLLERİN KORUNMASI VE RESTORASYONU
önlisans,GEMİ İNŞAATI
önlisans,GEMİ MAKİNELERİ İŞLETMECİLİĞİ
önlisans,GEOTEKNİK
önlisans,GIDA KALİTE KONTROLÜ VE ANALİZİ
önlisans,GIDA TEKNOLOJİSİ
önlisans,GİYİM ÜRETİM TEKNOLOJİSİ
önlisans,GÖRSEL İLETİŞİM
önlisans,GRAFİK TASARIMI
önlisans,GRAFİK TASARIMI (AÇIKÖĞRETİM)
önlisans,HALICILIK VE KİLİMCİLİK
önlisans,HALKLA İLİŞKİLER VE TANITIM
önlisans,HALKLA İLİŞKİLER VE TANITIM (AÇIKÖĞRETİM)
önlisans,HARİTA VE KADASTRO
önlisans,HASTA BAKIMI
önlisans,HAVA ARACI İMALAT TEKNOLOJİLERİ
önlisans,HAVA LOJİSTİĞİ
önlisans,HİBRİD VE ELEKTRİKLİ TAŞITLAR TEKNOLOJİSİ
önlisans,İÇ MEKAN TASARIMI
önlisans,İKLİMLENDİRME VE SOĞUTMA TEKNOLOJİSİ
önlisans,İKRAM HİZMETLERİ
önlisans,İLAHİYAT (AÇIKÖĞRETİM)
önlisans,İLK VE ACİL YARDIM
önlisans,İMALAT YÜRÜTME SİSTEMLERİ OPERATÖRLÜĞÜ
önlisans,İNSAN KAYNAKLARI YÖNETİMİ
