Tür,Üniversite Adı
Devlet Üniversiteleri,ABDULLAH GÜL ÜNİVERSİTESİ
Devlet Üniversiteleri,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ
Devlet Üniversiteleri,ADIYAMAN ÜNİVERSİTESİ
Devlet Üniversiteleri,AFYON KOCATEPE ÜNİVERSİTESİ
Devlet Üniversiteleri,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ
Devlet Üniversiteleri,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ
Devlet Üniversiteleri,AKDENİZ ÜNİVERSİTESİ
Devlet Üniversiteleri,AKSARAY ÜNİVERSİTESİ
Devlet Üniversiteleri,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ
Devlet Üniversiteleri,AMASYA ÜNİVERSİTESİ
Devlet Üniversiteleri,ANADOLU ÜNİVERSİTESİ
Devlet Üniversiteleri,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ
Devlet Üniversiteleri,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ
Devlet Üniversiteleri,ANKARA ÜNİVERSİTESİ
Devlet Üniversiteleri,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ
Devlet Üniversiteleri,ARDAHAN ÜNİVERSİTESİ
Devlet Üniversiteleri,ARTVİN ÇORUH ÜNİVERSİTESİ
Devlet Üniversiteleri,ATATÜRK ÜNİVERSİTESİ
Devlet Üniversiteleri,AYDIN ADNAN MENDERES ÜNİVERSİTESİ
Devlet Üniversiteleri,BALIKESİR ÜNİVERSİTESİ
Devlet Üniversiteleri,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ
Devlet Üniversiteleri,BARTIN ÜNİVERSİTESİ
Devlet Üniversiteleri,BATMAN ÜNİVERSİTESİ
Devlet Üniversiteleri,BAYBURT ÜNİVERSİTESİ
Devlet Üniversiteleri,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ
Devlet Üniversiteleri,BİNGÖL ÜNİVERSİTESİ
Devlet Üniversiteleri,BİTLİS EREN ÜNİVERSİTESİ
Devlet Üniversiteleri,BOĞAZİÇİ ÜNİVERSİTESİ
Devlet Üniversiteleri,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ
Devlet Üniversiteleri,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ
Devlet Üniversiteleri,BURSA TEKNİK ÜNİVERSİTESİ
Devlet Üniversiteleri,BURSA ULUDAĞ ÜNİVERSİTESİ
Devlet Üniversiteleri,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ
Devlet Üniversiteleri,ÇANKIRI KARATEKİN ÜNİVERSİTESİ
Devlet Üniversiteleri,ÇUKUROVA ÜNİVERSİTESİ
Devlet Üniversiteleri,DİCLE ÜNİVERSİTESİ
Devlet Üniversiteleri,DOKUZ EYLÜL ÜNİVERSİTESİ
Devlet Üniversiteleri,DÜZCE ÜNİVERSİTESİ
Devlet Üniversiteleri,EGE ÜNİVERSİTESİ
Devlet Üniversiteleri,ERCİYES ÜNİVERSİTESİ
Devlet Üniversiteleri,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ
Devlet Üniversiteleri,ERZURUM TEKNİK ÜNİVERSİTESİ
Devlet Üniversiteleri,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ
Devlet Üniversiteleri,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ
Devlet Üniversiteleri,FIRAT ÜNİVERSİTESİ
Devlet Üniversiteleri,GALATASARAY ÜNİVERSİTESİ
Devlet Üniversiteleri,GAZİ ÜNİVERSİTESİ
Devlet Üniversiteleri,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ
